id,original_path,augmented_path,original_duration,augmented_duration,speed_applied,speed_rate_applied,pitch_applied,noise_applied,time_mask_applied,augmentation_type
176,02036.wav,02036_augmented_spd_nse.wav,11.9734,11.1585,True,1.073,False,True,False,AugmentationType.SPEED|NOISE
177,02036.wav,02036_augmented_pch_msk.wav,11.9734,11.9734,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
178,02039.wav,02039_augmented_spd_nse.wav,19.6214,21.3011,True,0.9211,False,True,False,AugmentationType.SPEED|NOISE
179,02039.wav,02039_augmented_pch_msk.wav,19.6214,19.6214,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
180,02040.wav,02040_augmented_spd_nse.wav,10.32,10.3571,True,0.9964,False,True,False,AugmentationType.SPEED|NOISE
181,02040.wav,02040_augmented_pch_msk.wav,10.32,10.32,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
182,02051.wav,02051_augmented_spd_nse.wav,13.8934,15.2263,True,0.9125,False,False,False,AugmentationType.SPEED|NOISE
183,02051.wav,02051_augmented_pch_msk.wav,13.8934,13.8934,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
184,02058.wav,02058_augmented_spd_nse.wav,13.232,13.9406,True,0.9492,False,False,False,AugmentationType.SPEED|NOISE
185,02058.wav,02058_augmented_pch_msk.wav,13.232,13.232,False,1.0,True,False,False,AugmentationType.PITCH|TIME_MASK
186,02090.wav,02090_augmented_spd_nse.wav,10.4907,10.7174,True,0.9788,False,True,False,AugmentationType.SPEED|NOISE
187,02090.wav,02090_augmented_pch_msk.wav,10.4907,10.4907,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
188,02093.wav,02093_augmented_spd_nse.wav,14.4161,13.5453,True,1.0643,False,True,False,AugmentationType.SPEED|NOISE
189,02093.wav,02093_augmented_pch_msk.wav,14.4161,14.4161,False,1.0,True,False,False,AugmentationType.PITCH|TIME_MASK
190,02122.wav,02122_augmented_spd_nse.wav,13.2107,12.2159,True,1.0814,False,False,False,AugmentationType.SPEED|NOISE
191,02122.wav,02122_augmented_pch_msk.wav,13.2107,13.2107,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
192,02132.wav,02132_augmented_spd_nse.wav,16.85,17.4342,True,0.9665,False,True,False,AugmentationType.SPEED|NOISE
193,02132.wav,02132_augmented_pch_msk.wav,16.85,16.85,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
194,02139.wav,02139_augmented_spd_nse.wav,10.4054,9.6732,True,1.0757,False,True,False,AugmentationType.SPEED|NOISE
195,02139.wav,02139_augmented_pch_msk.wav,10.4054,10.4054,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
